item_id,title,type,R,K,N,price,lat,lon,tags,description,actividad_level,outdoor,accesible
173,Tour 173,tour,3.9,173,251,856.59,18.8329,-97.1104,"excursión,cultural,extremo",Lugar de tipo tour con enfoque en excursión y cultural.,3,1,0
174,Restaurante 174,restaurante,4.4,174,237,255.99,18.8961,-97.1019,"tradicional,familiar,romántico",Lugar de tipo restaurante con enfoque en tradicional y familiar.,3,0,0
175,Atracción 175,atracción,4.0,175,245,145.64,18.8892,-97.154,"cultura,familiar,naturaleza",Lugar de tipo atracción con enfoque en cultura y familiar.,4,1,0
176,Tour 176,tour,4.2,176,414,648.62,18.8843,-97.1008,"cultural,naturaleza",Lugar de tipo tour con enfoque en cultural y naturaleza.,3,1,1
177,Hotel 177,hotel,4.4,177,48,1558.73,18.8198,-97.0922,"romántico,panorama",Lugar de tipo hotel con enfoque en romántico y panorama.,2,1,0
178,Tienda 178,tienda,4.5,178,282,445.53,18.8974,-97.1773,"local,artesanía,souvenir",Lugar de tipo tienda con enfoque en local y artesanía.,1,0,0
179,Atracción 179,atracción,4.7,179,463,373.64,18.8927,-97.0989,"vista,cultura,historia",Lugar de tipo atracción con enfoque en vista y cultura.,4,0,0
180,Atracción 180,atracción,3.7,180,143,88.23,18.8889,-97.1464,"cultura,naturaleza",Lugar de tipo atracción con enfoque en cultura y naturaleza.,4,1,1
181,Tienda 181,tienda,4.6,181,79,295.17,18.8236,-97.1279,"gastronomía,souvenir",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,2,0,0
182,Tour 182,tour,4.3,182,435,439.26,18.8024,-97.1693,"cultural,extremo,naturaleza",Lugar de tipo tour con enfoque en cultural y extremo.,3,1,0
183,Atracción 183,atracción,4.2,183,283,270.26,18.8904,-97.1308,"cultura,familiar,naturaleza",Lugar de tipo atracción con enfoque en cultura y familiar.,3,1,1
184,Hotel 184,hotel,5.0,184,310,2799.77,18.8034,-97.1089,"ecológico,panorama",Lugar de tipo hotel con enfoque en ecológico y panorama.,1,1,0
185,Tienda 185,tienda,4.2,185,309,252.79,18.8952,-97.1455,"local,gastronomía",Lugar de tipo tienda con enfoque en local y gastronomía.,1,0,0
186,Tour 186,tour,4.0,186,34,876.51,18.8441,-97.1271,"extremo,cultural",Lugar de tipo tour con enfoque en extremo y cultural.,5,0,0
187,Atracción 187,atracción,4.5,187,50,160.2,18.8084,-97.1439,"familiar,historia",Lugar de tipo atracción con enfoque en familiar y historia.,4,0,0
188,Restaurante 188,restaurante,4.5,188,375,255.33,18.8972,-97.0839,"romántico,tradicional",Lugar de tipo restaurante con enfoque en romántico y tradicional.,2,0,1
189,Atracción 189,atracción,3.8,189,316,252.96,18.8756,-97.1077,"cultura,naturaleza,historia",Lugar de tipo atracción con enfoque en cultura y naturaleza.,4,1,0
190,Tienda 190,tienda,4.1,190,499,308.8,18.8784,-97.0834,"local,souvenir",Lugar de tipo tienda con enfoque en local y souvenir.,2,0,0
191,Tour 191,tour,3.7,191,176,1322.63,18.8746,-97.1501,"cultural,naturaleza",Lugar de tipo tour con enfoque en cultural y naturaleza.,4,1,0
192,Restaurante 192,restaurante,4.5,192,412,273.63,18.8483,-97.1585,"tradicional,romántico,urbano",Lugar de tipo restaurante con enfoque en tradicional y romántico.,2,0,0
193,Atracción 193,atracción,4.1,193,381,202.12,18.8116,-97.1775,"familiar,vista",Lugar de tipo atracción con enfoque en familiar y vista.,2,0,0
194,Tienda 194,tienda,4.9,194,190,242.48,18.871,-97.1218,"artesanía,gastronomía",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,1,0,1
195,Restaurante 195,restaurante,4.6,195,394,377.7,18.8233,-97.1655,"familiar,romántico",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,0
196,Atracción 196,atracción,4.5,196,223,196.36,18.8845,-97.0991,"naturaleza,vista,familiar",Lugar de tipo atracción con enfoque en naturaleza y vista.,3,1,0
197,Hotel 197,hotel,3.8,197,473,1854.73,18.8563,-97.0815,"familiar,romántico,panorama",Lugar de tipo hotel con enfoque en familiar y romántico.,2,1,0
198,Atracción 198,atracción,4.9,198,135,281.3,18.859,-97.1244,"historia,familiar",Lugar de tipo atracción con enfoque en historia y familiar.,3,0,1
199,Restaurante 199,restaurante,4.4,199,110,194.24,18.8839,-97.0914,"familiar,tradicional",Lugar de tipo restaurante con enfoque en familiar y tradicional.,3,0,0
200,Restaurante 200,restaurante,4.8,200,280,618.7,18.8016,-97.0985,"gastronomía,romántico",Lugar de tipo restaurante con enfoque en gastronomía y romántico.,2,0,0
